timestamp,dataset,k,p,q,model,silhouette,davies_bouldin,inertia,min_balance,avg_balance,violation_rate,avg_dp_gap,tree_fidelity,tree_depth,tree_leaves,avg_exemplar_coverage,runtime_s
2026-03-23 19:53:57,adult,6,1,3,kmedians_baseline,0.05272174857296554,3.1840399062891684,239828.24335099885,0.09100050276520864,0.5658732011513138,0.3333333333333333,0.2011071081075054,0.8998888888888888,4,16,0.8973973129093568,15.74
2026-03-23 19:53:57,adult,6,1,3,fair_kmedoids,0.0019245051143394268,4.980420926939916,263518.3590183645,0.3523809523809524,0.49091710790530807,0.0,0.052739054418124875,0.5925555555555555,4,16,0.8964012949157203,17.88
2026-03-23 19:53:57,adult,6,1,3,fair_kmedians,-0.008232369419988731,5.756785193831128,270364.5845042765,0.3588929219600726,0.54153524343074,0.0,0.08926186696649514,0.5567777777777778,4,16,0.8993584878553252,16.91
2026-03-23 20:13:35,bank,7,1,2,kmeans_baseline,0.11785881906953494,1.559723123197869,196216.0017831613,0.0,0.5388835889393905,0.2857142857142857,0.08262412051683823,0.9373333333333334,4,16,0.9141105996466727,30.04
2026-03-23 20:13:35,bank,7,1,2,kmedoids_baseline,0.04437807863567553,2.653401345328717,232695.33269025641,0.35621854780733286,0.6129551091956467,0.42857142857142855,0.08887438383786825,0.6937777777777778,4,16,0.9108140886310563,58.51
2026-03-23 20:13:35,bank,7,1,2,kmedians_baseline,0.06709893493464149,2.891167351465824,244469.8895736591,0.349654071314529,0.5900596179747636,0.2857142857142857,0.097412243832113,0.8352222222222222,4,16,0.9277238179414095,16.21
2026-03-23 20:13:35,bank,7,1,2,fair_kmedoids,-0.016828866314753527,8.227350792048549,304676.24299052486,0.5918918918918918,0.6933796408632968,0.0,0.027831713811409427,0.39811111111111114,4,16,0.8969907045554797,21.89
2026-03-23 20:13:35,bank,7,1,2,fair_kmedians,-0.014452173094615103,8.496209112753375,304800.856044868,0.5503672612801679,0.7071958183682161,0.0,0.03538435733880737,0.45911111111111114,4,16,0.8987982595145579,15.73
2026-03-23 20:20:21,german,5,1,3,kmeans_baseline,0.09093448840379889,2.3828797304176206,10040.88088511988,0.10687022900763359,0.4156210986633092,0.4,0.08428793749260444,0.9033333333333333,4,15,0.86194633122553,0.09
2026-03-23 20:20:21,german,5,1,3,kmedoids_baseline,0.08760611711150858,2.4867163958779175,10533.837870568217,0.10377358490566038,0.3904227362919312,0.4,0.08374266670531608,0.73,4,16,0.8665237397221526,0.09
2026-03-23 20:20:21,german,5,1,3,kmedians_baseline,0.03326174693472975,3.4416371488379034,11278.879153763995,0.2710843373493976,0.4555575018149394,0.2,0.05188120235785452,0.6166666666666667,4,16,0.8620751362144663,0.08
2026-03-23 20:20:21,german,5,1,3,fair_kmedoids,-0.02566099305239829,7.546166183240241,12648.707865408156,0.37222222222222223,0.487804450743595,0.0,0.03538813220170902,0.44666666666666666,4,16,0.8615948782698559,0.07
2026-03-23 20:20:21,german,5,1,3,fair_kmedians,-0.009655697165202596,7.255024624024493,12450.664833817797,0.4057971014492754,0.4491146611325861,0.0,0.017748118927690792,0.52,4,16,0.86022271086383,0.06
2026-03-23 20:41:51,bank,7,1,2,kmeans_baseline,0.11785881906953494,1.559723123197869,,0.0,0.5388835889393905,0.2857142857142857,0.08262412051683823,0.9373333333333334,4,16,0.9141105996466727,16.76
2026-03-23 20:41:51,bank,7,1,2,kmedoids_baseline,0.04437807863567553,2.653401345328717,,0.35621854780733286,0.6129551091956467,0.42857142857142855,0.08887438383786825,0.6937777777777778,4,16,0.9108140886310563,25.16
